"CountryName"	"CountryCode"	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	"Age dependency ratio (% of working-age population)"	"Age dependency ratio, old (% of working-age population)"	"Age dependency ratio, young (% of working-age population)"	"Business extent of disclosure index (0=less disclosure to 10=more disclosure)"	"Cost of business start-up procedures (% of GNI per capita)"	"Cost to export (US$ per container)"	"Cost to import (US$ per container)"	"Depth of credit information index (0=low to 8=high)"	"Diabetes prevalence (% of population ages 20 to 79)"	"Distance to frontier score (0=lowest performance to 100=frontier)"	"Documents to export (number)"	"Documents to import (number)"	"Ease of doing business index (1=most business-friendly regulations)"	"Fixed broadband subscriptions"	"Fixed telephone subscriptions"	"Fixed telephone subscriptions (per 100 people)"	"Foreign direct investment, net inflows (% of GDP)"	"Foreign direct investment, net inflows (BoP, current US$)"	"GDP at market prices (current US$)"	"GDP growth (annual %)"	"GDP per capita (current US$)"	"GDP per capita growth (annual %)"	"Immunization, DPT (% of children ages 12-23 months)"	"Immunization, measles (% of children ages 12-23 months)"	"Improved sanitation facilities (% of population with access)"	"Improved sanitation facilities, rural (% of rural population with access)"	"Improved sanitation facilities, urban (% of urban population with access)"	"Improved water source (% of population with access)"	"Improved water source, rural (% of rural population with access)"	"Improved water source, urban (% of urban population with access)"	"Incidence of tuberculosis (per 100,000 people)"	"Internet users (per 100 people)"	"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"	"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"	"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"	"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"	"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"	"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"	"Labor force, female (% of total labor force)"	"Labor force, total"	"Land area (sq. km)"	"Lifetime risk of maternal death (%)"	"Lifetime risk of maternal death (1 in: rate varies by country)"	"Maternal mortality ratio (modeled estimate, per 100,000 live births)"	"Merchandise exports (current US$)"	"Merchandise exports by the reporting economy (current US$)"	"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"	"Merchandise exports to high-income economies (% of total merchandise exports)"	"Merchandise imports (current US$)"	"Merchandise imports by the reporting economy (current US$)"	"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"	"Merchandise imports from high-income economies (% of total merchandise imports)"	"Mobile cellular subscriptions"	"Mobile cellular subscriptions (per 100 people)"	"Mortality rate, infant (per 1,000 live births)"	"Mortality rate, neonatal (per 1,000 live births)"	"Mortality rate, under-5 (per 1,000)"	"Number of maternal deaths"	"Population ages 65 and above (% of total)"	"Population density (people per sq. km of land area)"	"Population growth (annual %)"	"Population, ages 0-14 (% of total)"	"Population, ages 15-64 (% of total)"	"Population, female (% of total)"	"Population, total"	"Private credit bureau coverage (% of adults)"	"Procedures to build a warehouse (number)"	"Procedures to register property (number)"	"Proportion of seats held by women in national parliaments (%)"	"Public credit registry coverage (% of adults)"	"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)"	"Refugee population by country or territory of asylum"	"Refugee population by country or territory of origin"	"Rural population"	"Rural population (% of total population)"	"Rural population growth (annual %)"	"Secure Internet servers"	"Secure Internet servers (per 1 million people)"	"Start-up procedures to register a business (number)"	"Strength of legal rights index (0=weak to 12=strong)"	"Surface area (sq. km)"	"Tax payments (number)"	"Time required to build a warehouse (days)"	"Time required to enforce a contract (days)"	"Time required to get electricity (days)"	"Time required to register property (days)"	"Time required to start a business (days)"	"Time to export (days)"	"Time to import (days)"	"Time to prepare and pay taxes (hours)"	"Total tax rate (% of commercial profits)"	"Tuberculosis case detection rate (%, all forms)"	"Urban population"	"Urban population (% of total)"	"Urban population growth (annual %)"
"Barbados"	"BRB"	41.9272	49.6949367422942	20.5969203137793	29.0980164285148	2	7.6	810	1615	0	12.35	56.88	5	5	116	77158	151394	52.9227520921745	6.31674630360087	275062717.7903	4354500000	0.180342651036966	15366.2926106288	-0.129693909429392	94	95	96.2	96.2	96.2	99.7	99.7	99.7	0.91	76.67	53.2000007629395	61.2999992370605	57.4000015258789	76.6999969482422	65.8000030517578	84.9000015258789	76.599998474121	80.9000015258789	71.099998474121	48.8996907305413	162318	430	0.0479292852582262	2100	28	4.5e+08	474354770.5	2.02091373334129	58.1334330034594	1.79e+09	2139883075	0.117462660522199	87.6425098523269	305456	106.778156089853	12.3	8.2	13.3	1	13.7592631801821	659.023255813953	0.309958313694471	19.4382101771473	66.8025266426706	52.0696591149693	283380	0	9	6	16.7	0	85.9007889849867	1	86	193962	68.446	0.453175712974874	115	405.815512739078	8	7	430	27	442	1340	87	118	18	9	8	237	34.6	190	89418	31.554	0
"Belarus"	"BLR"	18.84	42.3458444858872	19.8990471847164	22.4467973011709	7	0.8	1460	2265	6	5.07	71.79	8	10	43	2684347	4514315	48.5013390657042	2.44551921786152	1.862e+09	76139250364.5185	1.58780161918546	8040.04755697133	1.54489230487957	97	99	94.3	95.3	94.1	99.7	99.1	99.9	58	59.02	34.5999984741211	44.2999992370605	39.5999984741211	62.4000015258789	50.2999992370605	70.599998474121	63.4000015258789	66.4000015258789	56.2000007629395	48.7267228373896	4482881	202910	0.0071701055614366	13900	4	36287800000	36358313500	1.23071962620048	73.3270667243683	40787600000	40787869800	1.09263931209272	83.1121614495298	11401927	122.501138584571	3.5	1.9	4.7	5	13.9793684954205	46.6709378542211	0.0422475713930697	15.7691942526342	70.2514372519452	53.520264678769	9470000	0	16	2	26.6	64.5	79.3375363193466	925	4302	2246568	23.723	-1.62981905253562	422	44.5617740232313	5	2	207600	7	115	275	112	4	9	15	30	183	51.8	70	7223432	76.277	0.568030749146644
"Belgium"	"BEL"	8.3764	53.5938729968342	27.6543371031211	25.9395358937131	8	5	1240	1400	5	4.66	72.39	4	4	41	4011201	4694435	42.1236367617157	-3.78093836614779	-20097448810.7747	531546586178.579	1.34836095620594	47352.9429059596	0.96563687629066	99	96	99.5	99.4	99.5	100	100	100	9	85	28.5	34.2000007629395	31.3999996185303	62.4000015258789	47.5999984741211	72.8000030517578	59.2999992370605	67.6999969482422	53.2999992370605	45.7846875586338	4972597	30280	0.012833732093129	7800	7	469008458850	4.57769e+11	1.64101675736015	85.901975974782	451121003450	4.48081e+11	0.0292657800710139	86.0456670334158	12734724	114.269957521343	3.4	2.2	4.2	9	18.0048461107743	370.71357331572	0.378347065020028	16.8883896257385	65.1067642634872	50.8627937092843	11225207	0	10	8	39.3	96.4	80.26981296211	29179	75	244934	2.182	-1.52826894724713	9589	854.23814456161	3	4	30530	11	212	505	88	64	4	9	8	160	58.4	88	10980273	97.818	0.421294691898473
"Belize"	"BLZ"	66.673	58.3462397349085	5.94429837199251	52.401941362916	3	41.4	1355	1580	0	15.88	56.77	5	7	118	9900	22700	6.68122604912909	8.30395710913264	141097030.34391	1699154132.0551	3.58331482421448	4831.17755186177	1.37061033730119	95	95	90.5	88.2	93.5	99.5	100	98.9	37	38.7	42.0999984741211	64.4000015258789	53.4000015258789	52	49.4000015258789	84.8000030517578	82.3000030517578	68.4000015258789	65.6999969482422	37.9464689978137	154602	22810	0.0801643921611809	1200	28	5.65e+08	428133662.1	1.03243259466892	66.1314316413561	8.2e+08	1188845582	2.16406745730792	49.9718645311944	172300	50.7125660028609	14.6	8.6	17	2	3.7539877056405	15.418939061815	2.15930527714553	33.0932653978038	63.1527468965556	50.1185649377605	351706	0	15	9	3.1	0	60.0243009648634	10	45	196519	55.876	2.47127126300506	74	210.403007057031	9	4	22970	29	109	892	66	60	43	17	19	147	31.1	55	155187	44.124	1.76564273246275
"Benin"	"BEN"	84.59	83.0134686123209	5.28808546364469	77.7253831486762	7	55.8	1052	1487	0	1.54	45.37	7	7	162	42087	195662	1.84595325632977	3.94093588189811	377358669.3786	9575356734.7269	6.54148665115765	903.464924007693	3.76447710513187	70	63	19.6	7.3	35.6	77.8	72.1	85.2	61	5.3	57.2999992370605	55.7999992370605	56.5999984741211	69	67.6999969482422	78.5	78.1999969482422	73.6999969482422	72.9000015258789	47.0081474390629	4444955	112760	2.04631550698493	49	414	2010160736.48561	901431052.5	1.43490230508734e-09	11.0115848316241	2480646635.21087	9531138622	0.0151957677904726	27.2369823508606	10780875	101.711069662654	65.7	32.2	102.1	1600	2.88945152711492	93.9915040794608	2.6410767577434	42.4697612356185	54.6407872372666	50.1471437135997	10598482	0	13	4	8.4	0.6	86.572889501582	415	340	5986659	56.486	1.88623277771109	23	2.17012209861752	7	6	114760	55	111	750	90	120	12	25	25	270	63.3	60	4611823	43.514	3.62952483302384
"Bolivia"	"BOL"	71.147	64.5564616835013	10.4319193717684	54.124542311733	1	64.4	1440	1745	7	7.28	46.99	7	6	155	172783	876111	8.07649462593974	0.220012313383351	72595676.521648	32996187988.4226	5.460569751994	3124.08076212353	3.84343712836777	94	95	50.2	27.5	60.8	90	75.6	96.7	120	39.02	49.7000007629395	59.2999992370605	54.5999984741211	66.5	64.4000015258789	82.4000015258789	80.9000015258789	74.4000015258789	72.599998474121	44.6315463815752	5145858	1083300	0.681026296672926	150	215	12265852000	12881566124	0.0168245332837385	55.2285696014489	10420900000	10560100408	0.0365447377477246	50.4559446230599	10450341	96.3372482776015	31.7	20.1	39.8	540	6.33941643193114	9.74973414566602	1.54527839862755	32.891168027077	60.7694155409919	49.9143855638675	10561887	39	12	7	53.1	15.1	79.6044503228818	763	599	3368503	31.893	0.264829868146324	136	12.8764869383662	15	0	1098580	42	275	591	42	91	50	22	28	1025	83.7	64	7193384	68.107	2.15056763534904
"Bosnia and Herzegovina"	"BIH"	9.1124	40.0898176784794	20.9723692109871	19.1174484674923	3	15.2	1260	1200	6	9.6	63.36	8	8	82	541103	849216	22.2031998987645	2.71659645999319	496764251.310727	18286273232.9399	0.782612256090616	4790.04965822092	0.940456582242689	86	89	94.8	92	98.9	99.9	100	99.7	42	60.8	25.7999992370605	39.4000015258789	32.9000015258789	42.0999984741211	34.2000007629395	67.099998474121	57.4000015258789	54.5	45.4000015258789	38.0432044611603	1496651	51200	0.0150459219809053	6600	12	5892102000	4691594861	2.51883839183035	89.0955534392725	10990420000	8966115999	3.85319306641885	88.2071217383139	3491188	91.2789502884636	5.4	4.2	5.7	4	14.970659223157	74.5616015625	-0.156496090680957	13.6465653138109	71.3827754630321	50.2254061108238	3817554	8.1	15	7	21.4	39.7	59.5818812783835	6890	21845	2305192	60.384	-0.371555526918872	137	35.8868532049579	12	7	51210	45	179	595	125	24	67	16	13	407	23.3	75	1512362	39.616	0.172196929372765
"Brazil"	"BRA"	67.3106	45.1428885671926	10.9950472653468	34.1478413018458	5	4.3	2322.8	2322.8	7	8.7	57.66	6	8	111	23162259	44128188	21.8419969305116	4.13009424677363	96895162915.63	2346076315118.55	0.144707354149403	11384.4150095055	-0.739013098794956	93	97	82.7	51.5	88	98.1	87	100	44	57.6	54.5999984741211	70.599998474121	62.7000007629395	65.099998474121	59.4000015258789	85.3000030517578	80.599998474121	75	69.6999969482422	43.7742806986552	109842906	8358140	0.0846836868138012	1200	46	2.25101e+11	2.251e+11	2.2355136521546	59.3454002514438	239074900000	2.51965e+11	0.509501526243729	61.9144858539083	280728796	138.951490610451	14.4	9.6	16.2	1400	7.57532620019252	24.6559519223176	0.886360083057745	23.5270509212977	68.8976228785098	50.8124335584983	206077898	63.6	18.2	13.6	9.9	52.5	73.697273759814	7490	977	30019367	14.567	-0.896243856945865	14144	68.6342404365945	11.6	2	8515770	9.6	425.7	731	43.6	31.7	83.6	13.4	17	2600	69.2	82	176058531	85.433	1.19350457329445
"Bulgaria"	"BGR"	38.5874	50.8473812041211	29.7608478508871	21.086533353234	10	0.8	1375	1365	5	5.04	73.62	4	5	36	1486464	1816952	25.3481097511467	3.47542729667395	1971160000	56717054673.7214	1.54999999999997	7851.26542804234	2.1288427793815	88	93	86	83.7	86.8	99.4	99	99.6	27	55.49	24.8999996185303	34.4000015258789	29.7999992370605	64.1999969482422	48	72	59.2000007629395	68.099998474121	53.4000015258789	46.6100239215849	3318342	108560	0.0160728274179272	6200	11	29287313900	28794809300	2.73590872504928	65.2984866268935	34726192900	34179144700	0.492752236717018	73.9861179147646	9870806	137.706595342242	9.7	5.9	10.9	7	19.7291103227358	66.5432756079587	-0.568389264052903	13.9787244206191	66.292165256645	51.3993707809748	7223938	0	16	8	20	62.9	81.0810800361493	11046	1648	1905241	26.374	-1.79691479489667	1277	176.715828355099	4	9	111000	14	110	564	130	11	18	18	17	424	27	95	5318697	73.626	-0.124614518194974
"Burkina Faso"	"BFA"	109.9036	93.067580905481	4.65456779867896	88.4130131068021	7	44.7	2305	4330	0	3.72	48.97	10	12	149	5381	124595	0.715256910098185	2.7259779368568	341898202.9267	12542221941.8594	3.99604471922063	713.063889658834	1.01233960706679	91	88	19.4	6.7	50.4	82.1	75.8	97.5	54	9.4	71.8000030517578	80.4000015258789	76.1999969482422	79.5	77	90.6999969482422	89.9000015258789	85	83.3000030517578	47.3232233505574	7942183	273600	2.14895018604794	47	379	2436150162.32544	840181177.4	55.6220118745732	27.6728846542245	3729549248.74791	2695153696	10.0373004121205	37.0034923472628	12496391	71.737469513534	62.2	27.2	92.4	2700	2.4108489767413	64.2880043859649	2.91101831662217	45.7938161819544	51.7953348413043	50.4028608922362	17589198	0	12	4	18.9	2	85.6507215718284	31894	1853	12484109	70.976	1.73724861358408	11	0.625383829325248	3	6	274220	45	129	446	158	67	13	41	49	270	41.3	59	5105089	29.024	5.84079711961751
